parcel_id,platform_id,true_release_time,observed_release_time,true_deadline,observed_deadline,is_delayed,weight,fare,location_node,lng,lat
121804,P4,0.0,0.0,720.0,720.0,False,0.96,8.0,314622956,30.6469045,104.0472313
12214,P4,0.0,0.0,720.0,720.0,False,1.73,9.46,3034040785,30.7004902,104.0186486
126169,P4,0.0,0.0,720.0,720.0,False,0.09,8.0,2366951323,30.6480711,104.1134414
128430,P4,0.0,0.0,720.0,720.0,False,1.16,8.32,4548209325,30.6630577,104.0382741
131345,P4,0.0,0.0,720.0,720.0,False,0.73,8.0,1506428007,30.705024,104.0696225
134929,P4,0.0,0.0,720.0,720.0,False,1.01,8.02,2712314632,30.7064434,104.0356675
139297,P4,0.0,0.0,720.0,720.0,False,0.3,8.0,1313998763,30.6345891,104.0887087
143936,P4,0.0,0.0,720.0,720.0,False,2.07,10.14,4799195761,30.6222623,103.99831
146063,P4,0.0,0.0,720.0,720.0,False,1.18,8.36,432432620,30.658394,104.029106
147416,P4,0.0,0.0,720.0,720.0,False,1.13,8.26,1458550333,30.6826429,104.1031569
156144,P4,0.0,0.0,720.0,720.0,False,1.18,8.36,2259835274,30.625347,104.1026569
157223,P4,0.0,0.0,720.0,720.0,False,2.55,11.1,2472030046,30.6617,104.0625
176786,P4,0.0,0.0,720.0,720.0,False,0.3,8.0,4748183731,30.6255167,104.0173584
189876,P4,0.0,0.0,720.0,720.0,False,1.56,9.12,4393223481,30.6264928,104.0461577
192917,P4,0.0,0.0,720.0,720.0,False,1.08,8.16,4693610156,30.6346775,104.0677857
202849,P4,0.0,0.0,720.0,720.0,False,0.48,8.0,3927876952,30.6762396,103.9878173
37365,P4,0.0,0.0,720.0,720.0,False,1.2,8.4,2532972245,30.7069398,104.0929
42894,P4,0.0,0.0,720.0,720.0,False,0.27,8.0,1916386454,30.6473557,104.0068671
44616,P4,0.0,0.0,720.0,720.0,False,1.13,8.26,318083108,30.6764502,103.9732295
49291,P4,0.0,0.0,720.0,720.0,False,1.03,8.06,3034393462,30.68475,104.04533
5987,P4,0.0,0.0,720.0,720.0,False,0.03,8.0,1504208589,30.7120846,104.0985726
66081,P4,0.0,0.0,720.0,720.0,False,0.76,8.0,5213238434,30.6406894,104.0326418
68153,P4,0.0,0.0,720.0,720.0,False,0.27,8.0,5141458199,30.6328301,104.071764
77559,P4,0.0,0.0,720.0,720.0,False,1.46,8.92,3562047401,30.723017,104.0621
77863,P4,0.0,0.0,720.0,720.0,False,1.34,8.68,1506537735,30.7166217,104.0720665
89015,P4,0.0,0.0,720.0,720.0,False,0.08,8.0,441187597,30.69091,104.05382
90589,P4,0.0,0.0,720.0,720.0,False,1.03,8.06,5211337171,30.6355659,104.0033779
95031,P4,0.0,0.0,720.0,720.0,False,0.6,8.0,1861145348,30.67245,104.10944
144884,P4,1.0,1.0,721.0,721.0,False,0.53,8.0,432452904,30.614518,104.0746835
155425,P4,1.0,1.0,721.0,721.0,False,2.03,10.06,5141468685,30.6375532,104.0942474
163813,P4,1.0,1.0,721.0,721.0,False,1.54,9.08,4972894323,30.6102292,104.0463125
172128,P4,1.0,1.0,721.0,721.0,False,0.92,8.0,603415283,30.7075026,104.095552
178527,P4,1.0,1.0,721.0,721.0,False,1.6,9.2,4106681985,30.64341,103.98667
179135,P4,1.0,1.0,721.0,721.0,False,0.62,8.0,4794975972,30.64539,104.05809
