parcel_id,platform_id,true_release_time,observed_release_time,true_deadline,observed_deadline,is_delayed,weight,fare,location_node,lng,lat
146063,,0.0,0.0,5179.0,5179.0,False,1.18,8.36,432432620,30.658394,104.029106
91707,,0.0,0.0,5835.0,5835.0,False,2.98,11.96,3028924419,30.6369133,104.0498441
34513,,0.0,0.0,6061.0,6061.0,False,1.34,8.68,5141328715,30.6141925,104.0610426
25151,,0.0,0.0,7448.0,7448.0,False,1.2,8.4,3033991448,30.664365,104.0291867
128617,,0.0,0.0,7954.0,7954.0,False,0.22,8.0,5141468690,30.6365395,104.0932513
197269,,0.0,0.0,8241.0,8241.0,False,1.73,9.46,5102886112,30.6879888,103.9903974
126278,,0.0,0.0,9715.0,9715.0,False,1.56,9.12,5213237296,30.6611226,104.074414
115351,,0.0,0.0,10534.0,10534.0,False,0.33,8.0,4294722531,30.640447,104.0060559
147409,,0.0,0.0,10876.0,10876.0,False,0.33,8.0,2981319480,30.7065632,104.0099932
77638,,0.0,0.0,11107.0,11107.0,False,1.06,8.12,1445515786,30.6497806,104.0638224
78157,,0.0,0.0,12375.0,12375.0,False,0.08,8.0,2439237551,30.6298597,104.0955236
150487,,0.0,0.0,14141.0,14141.0,False,0.18,8.0,3034040785,30.7004902,104.0186486
170635,,1.0,1.0,3872.0,3872.0,False,1.05,8.1,3541393464,30.6862686,104.0224797
45807,,1.0,1.0,4555.0,4555.0,False,0.92,8.0,1861145350,30.67227,104.10958
151055,,1.0,1.0,5203.0,5203.0,False,1.34,8.68,5336411861,30.646812,104.0472629
60407,,1.0,1.0,6009.0,6009.0,False,1.91,9.82,4521034134,30.6526203,104.0830937
204737,,1.0,1.0,6861.0,6861.0,False,1.6,9.2,4934383649,30.6163126,104.1125643
195005,,1.0,1.0,7384.0,7384.0,False,1.73,9.46,1159474715,30.693343,104.0455602
19499,,1.0,1.0,7861.0,7861.0,False,1.54,9.08,1159227850,30.6913669,104.0523676
197369,,1.0,1.0,8535.0,8535.0,False,1.86,9.72,1388412853,30.6847641,104.0700667
78255,,1.0,1.0,10779.0,10779.0,False,1.77,9.54,1492389307,30.6570005,104.0582711
121475,,1.0,1.0,13650.0,13650.0,False,0.57,8.0,3562110277,30.6752697,104.0647422
191648,,1.0,1.0,13650.0,13650.0,False,0.57,8.0,5211337146,30.6509466,103.9898866
187819,,2.0,2.0,1846.0,1846.0,False,0.76,8.0,1305816678,30.649904,104.0826
9963,,2.0,2.0,5952.0,5952.0,False,1.78,9.56,3742070455,30.64686,104.09025
