num_parcels,algorithm,TR,CR,BPT,delivered_parcels,accepted_assignments,estimated
5000,capa,34907.418153671635,0.9982,0.577106358110743,4991,4991,False
5000,greedy,34773.39200000162,0.9778,0.09402771873437996,4889,4943,False
5000,basegta,35048.86304000165,0.9886,0.49117089692232585,4943,4997,False
5000,impgta,27393.210760000016,0.988,1.067837703968689,4940,4994,False
5000,mra,34896.17600000157,0.9814,42.44680802740839,4907,4955,False
5000,ramcom,35157.980220001635,0.9874,0.13223332733821516,4937,4991,False
20000,capa,139667.05358843112,0.9965,0.6375954697780597,19930,19930,False
20000,greedy,139726.7359999756,0.95415,0.09968179774747055,19083,19814,False
20000,basegta,140249.63565997515,0.9603,0.5176541691521487,19206,19949,False
20000,impgta,109466.8449199989,0.96015,0.8287964096315207,19203,19946,False
20000,mra,140576.1279999751,0.9596,29.305792217523866,19192,19916,False
20000,ramcom,140712.33548997517,0.95985,0.0867347051517354,19197,19939,False
50000,capa,345413.16205731255,0.9836,0.5536879813199198,49180,49180,False
50000,greedy,345471.6640000558,0.88666,0.07906780535089554,44333,49001,False
50000,basegta,347020.9038800573,0.89116,0.3723604023748621,44558,49284,False
50000,impgta,310772.184500023,0.89118,0.5251237649215224,44559,49283,False
50000,mra,346611.4400000568,0.88968,32.64078345947375,44484,49145,False
50000,ramcom,347012.392700057,0.88982,0.08337566859970742,44491,49203,False
100000,capa,682923.8561730374,0.97401,0.3626616177088752,97401,97401,False
100000,greedy,669646.3680005742,0.77929,0.04496172996277749,77929,95008,False
100000,basegta,678155.984800586,0.79725,0.21573956287098997,79725,97775,False
100000,impgta,636126.6108804914,0.79716,0.3042163693276515,79716,97760,False
100000,mra,668163.7600005829,0.77917,40.99250054208276,77917,94888,False
100000,ramcom,688698.9192005934,0.79611,0.06067455900742061,79611,97607,False
200000,capa,1342611.3929233693,0.976255,0.2880590692855345,195251,195251,False
200000,greedy,958512.4480013287,0.51854,0.03201747654922215,103708,138354,False
200000,basegta,1258516.1989998226,0.656725,0.1158902971178015,131345,196464,False
200000,impgta,1191689.2324197271,0.656595,0.21576404762608978,131319,196407,False
200000,mra,957812.1753630114,0.5189653029240069,34.4150547388305,103793,138377,False
200000,ramcom,1272708.6649026645,0.6557875010225681,0.05385144073589877,131158,196123,False
